source,titre,prix_eur,surface_m2,quartier,type_bien,description,url,date_scrape
SeLoger,"1 / 7 E 226 000 € 3 531 €/m² Découvrez les options de financement Appartement à vendre 4 pièces · 2 chambres · 64 m² · Étage 2/2 Notre Dame des Routes, Toulon (",226000.0,64.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/notre-dame-des-routes/258296013.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.428994+00:00
SeLoger,"1 / 8 A 425 000 € 5 120 €/m² Investissez dans l'immobilier Villa à vendre 4 pièces · 3 chambres · 83 m² · 330 m² de terrain Valbertrand, Toulon (83200) Agence G",425000.0,83.0,,Autre,,https://www.seloger.com/annonces/achat/maison/toulon-83/valbertrand/257254113.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D2&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.428994+00:00
SeLoger,1 / 8 C 370 000 € 4 302 €/m² Découvrez les options de financement Appartement à vendre 3 pièces · 2 chambres · 86 m² · RDC/5 Toulon (83000) GAMBETTA IMMOBILIER,370000.0,86.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/259104483.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D2&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.428994+00:00
SeLoger,"1 / 6 D 180 000 € 2 169 €/m² Découvrez les options de financement Appartement à vendre 4 pièces · 3 chambres · 83 m² · Étage 3/5 Saint Roch, Toulon (83200) Excl",180000.0,83.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/saint-roch/250724999.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D2&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.428994+00:00
SeLoger,1 / 8 E 206 700 € 3 180 €/m² Découvrez les options de financement Appartement à vendre 3 pièces · 2 chambres · 65 m² · Étage 1/4 Toulon (83000) GAMBETTA IMMOBIL,206700.0,65.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/250055233.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D2&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.429994+00:00
SeLoger,1 / 8 D 185 000 € 2 761 €/m² Découvrez les options de financement Appartement à vendre 4 pièces · 2 chambres · 67 m² · 3ème étage Toulon (83200) Exclusivité CEN,185000.0,67.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/260972071.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D2&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.429994+00:00
SeLoger,"1 / 8 D 254 000 € 3 629 €/m² Investissez dans l'immobilier Appartement à vendre 4 pièces · 2 chambres · 70 m² · Étage 1/4 La Serinette, Toulon (83000) ROYAL IMM",254000.0,70.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/la-serinette/252340849.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D2&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.429994+00:00
SeLoger,1 / 9 D 420 000 € 5 250 €/m² Découvrez les options de financement Appartement à vendre 4 pièces · 2 chambres · 80 m² · RDC/3 Toulon (83000) CABINET 3000,420000.0,80.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/256236035.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D2&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.429994+00:00
SeLoger,1 / 9 D 380 000 € 4 419 €/m² Découvrez les options de financement Villa à vendre 4 pièces · 3 chambres · 86 m² · 290 m² de terrain Toulon (83200) AGENCE BETHAUS,380000.0,86.0,,Autre,,https://www.seloger.com/annonces/achat/maison/toulon-83/258918849.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D2&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.429994+00:00
SeLoger,"1 / 6 E 170 000 € 2 833 €/m² Investissez dans l'immobilier Appartement à vendre 3 pièces · 2 chambres · 60 m² · 3ème étage Champ de Mars, Toulon (83000) AGENCE ",170000.0,60.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/champ-de-mars/260004843.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D2&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.429994+00:00
