date_mutation,nature_mutation,valeur_fonciere,prix_m2,code_postal,nom_commune,code_departement,code_commune,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain
2024-03-04,Vente,535000.0,5350.0,83100,TOULON,83,83137,Maison,100,4,181.0
2024-03-04,Vente,199600.0,3913.725490196078,83000,TOULON,83,83137,Appartement,51,2,
2024-03-04,Vente,219750.0,3010.27397260274,83100,TOULON,83,83137,Appartement,73,3,164.0
2024-03-05,Vente,54000.0,1928.5714285714287,83200,TOULON,83,83137,Appartement,28,1,
2024-03-05,Vente,60000.0,2727.2727272727275,83000,TOULON,83,83137,Appartement,22,2,
2024-03-05,Vente,90000.0,2000.0,83000,TOULON,83,83137,Appartement,45,2,
2024-03-05,Vente,90000.0,1956.5217391304348,83000,TOULON,83,83137,Appartement,46,2,
2024-03-05,Vente,190000.0,2638.8888888888887,83000,TOULON,83,83137,Appartement,72,3,
2024-03-06,Vente,131500.0,2481.132075471698,83000,TOULON,83,83137,Appartement,53,3,
2024-03-06,Vente,155000.0,2123.2876712328766,83000,TOULON,83,83137,Appartement,73,3,
2024-03-06,Vente,173500.0,3691.4893617021276,83000,TOULON,83,83137,Appartement,47,2,
2024-03-07,Vente,400000.0,4878.048780487805,83200,TOULON,83,83137,Appartement,82,3,370.0
2024-03-07,Vente,130000.0,2241.3793103448274,83200,TOULON,83,83137,Appartement,58,3,250.0
2024-03-07,Vente,119800.0,1761.764705882353,83100,TOULON,83,83137,Appartement,68,4,
2024-03-07,Vente,321000.0,5262.295081967213,83000,TOULON,83,83137,Appartement,61,3,
2024-03-07,Vente,215000.0,3359.375,83200,TOULON,83,83137,Appartement,64,3,
2024-03-07,Vente,140000.0,1372.549019607843,83100,TOULON,83,83137,Maison,102,4,455.0
2024-03-07,Vente,639760.0,6334.257425742574,83100,TOULON,83,83137,Maison,101,5,349.0
2024-03-07,Vente,400000.0,13333.333333333334,83200,TOULON,83,83137,Appartement,30,1,370.0
2024-03-07,Vente,400000.0,9523.809523809523,83200,TOULON,83,83137,Appartement,42,2,370.0
2024-03-07,Vente,390000.0,7800.0,83200,TOULON,83,83137,Appartement,50,2,305.0
2024-03-07,Vente,390000.0,4875.0,83200,TOULON,83,83137,Appartement,80,3,305.0
2024-03-07,Vente,415000.0,3458.3333333333335,83000,TOULON,83,83137,Appartement,120,4,
2024-03-07,Vente,400000.0,5128.205128205128,83200,TOULON,83,83137,Appartement,78,3,370.0
2024-03-07,Vente,130000.0,2031.25,83200,TOULON,83,83137,Appartement,64,3,250.0
2024-03-07,Vente,130000.0,1780.8219178082193,83200,TOULON,83,83137,Appartement,73,4,250.0
2024-03-07,Vente,116000.0,2697.6744186046512,83000,TOULON,83,83137,Appartement,43,2,
2024-03-07,Vente,116000.0,1348.8372093023256,83000,TOULON,83,83137,Appartement,86,4,
2024-03-07,Vente,339000.0,6780.0,83000,TOULON,83,83137,Maison,50,3,428.0
2024-03-07,Vente,32000.0,914.2857142857143,83200,TOULON,83,83137,Appartement,35,1,
2024-03-08,Vente,169000.0,1920.4545454545455,83000,TOULON,83,83137,Appartement,88,4,
2024-03-08,Vente,1327500.0,5205.882352941177,83200,TOULON,83,83137,Maison,255,10,810.0
2024-03-08,Vente,165000.0,2426.470588235294,83000,TOULON,83,83137,Appartement,68,4,
2024-03-08,Vente,380170.0,3168.0833333333335,83000,TOULON,83,83137,Appartement,120,5,
2024-03-08,Vente,420259.0,3686.4824561403507,83200,TOULON,83,83137,Maison,114,5,501.0
2024-03-08,Vente,270000.0,2288.135593220339,83000,TOULON,83,83137,Maison,118,4,232.0
2024-03-08,Vente,107000.0,3689.655172413793,83000,TOULON,83,83137,Appartement,29,1,
2024-03-08,Vente,110000.0,3235.294117647059,83000,TOULON,83,83137,Appartement,34,1,
2024-03-08,Vente,73000.0,1697.6744186046512,83200,TOULON,83,83137,Appartement,43,2,
2024-03-08,Vente,140000.0,4000.0,83000,TOULON,83,83137,Appartement,35,1,50.0
2024-03-08,Vente,140000.0,3589.74358974359,83000,TOULON,83,83137,Appartement,39,2,50.0
2024-03-08,Vente,459500.0,5162.921348314607,83200,TOULON,83,83137,Maison,89,4,501.0
2024-03-08,Vente,160000.0,3333.3333333333335,83000,TOULON,83,83137,Appartement,48,2,
2024-03-08,Vente,66299.0,1035.921875,83100,TOULON,83,83137,Appartement,64,3,
2024-03-08,Vente,230750.0,3662.6984126984125,83000,TOULON,83,83137,Appartement,63,3,
